"","county","date","pretrial_release","sentenced_release"
"1","Amador County",2002-01-01,8.38,37.85
"2","Colusa County",2002-01-01,4,34
"3","Del Norte County",2002-01-01,2.8,31.5
"4","El Dorado County",2002-01-01,4,43
"5","Fresno County",2002-01-01,21,67
"6","Glenn County",2002-01-01,13,36
"7","Humboldt County",2002-01-01,8,66
"8","Los Angeles County",2002-01-01,41.7,56.7
"9","Marin County",2002-01-01,9.2,46
"10","Mariposa County",2002-01-01,8.8,17.7
"11","Mendocino County",2002-01-01,13,32
"12","Napa County",2002-01-01,13,68
"13","Orange County",2002-01-01,5.65,13
"14","Plumas County",2002-01-01,3.54,12.54
"15","San Benito County",2002-01-01,17,57
"16","San Bernardino County",2002-01-01,25,81
"17","San Diego County",2002-01-01,14,84
"18","San Joaquin County",2002-01-01,39,13
"19","Santa Barbara County",2002-01-01,7,43
"20","Santa Clara County",2002-01-01,117,65
"21","Sierra County",2002-01-01,2,1
"22","Sonoma County",2002-01-01,7.4,76.2
"23","Stanislaus County",2002-01-01,6,46
"24","Tulare County",2002-01-01,11,60.44
"25","Amador County",2002-04-01,4,30
"26","Colusa County",2002-04-01,5,38
"27","Del Norte County",2002-04-01,4.7,29.6
"28","El Dorado County",2002-04-01,3,41
"29","Fresno County",2002-04-01,20,71
"30","Glenn County",2002-04-01,11.73,46
"31","Humboldt County",2002-04-01,13.69,59.58
"32","Los Angeles County",2002-04-01,44.7,57.3
"33","Marin County",2002-04-01,7.3,46.2
"34","Mariposa County",2002-04-01,13,16.7
"35","Mendocino County",2002-04-01,13,37
"36","Modoc County",2002-04-01,2.3,12.2
"37","Napa County",2002-04-01,12,65
"38","Orange County",2002-04-01,1.2,34.3
"39","Orange County",2002-04-01,5.57,13
"40","Plumas County",2002-04-01,3.69,18.61
"41","San Benito County",2002-04-01,11,48
"42","San Diego County",2002-04-01,14,84
"43","San Joaquin County",2002-04-01,39,13
"44","Santa Barbara County",2002-04-01,9,40
"45","Santa Clara County",2002-04-01,118,67
"46","Shasta County",2002-04-01,56,35
"47","Siskiyou County",2002-04-01,15,37
"48","Sonoma County",2002-04-01,6.5,67.3
"49","Stanislaus County",2002-04-01,6,51
"50","Tulare County",2002-04-01,12.3,59.36
"51","Alameda County",2002-07-01,24.74,54.46
"52","Amador County",2002-07-01,4,30
"53","Colusa County",2002-07-01,4.5,34
"54","Del Norte County",2002-07-01,3.4,24.4
"55","El Dorado County",2002-07-01,2.2,41.5
"56","Fresno County",2002-07-01,15.86,75.94
"57","Glenn County",2002-07-01,6.99,17.61
"58","Humboldt County",2002-07-01,12.94,38.78
"59","Los Angeles County",2002-07-01,59.1,56.6
"60","Madera County",2002-07-01,6,42
"61","Marin County",2002-07-01,6.8,44.5
"62","Mariposa County",2002-07-01,12,18
"63","Mendocino County",2002-07-01,12,32
"64","Napa County",2002-07-01,12,66
"65","Orange County",2002-07-01,1.3,33.9
"66","Orange County",2002-07-01,5.59,13
"67","Placer County",2002-07-01,16.8,44.8
"68","Plumas County",2002-07-01,3.39,15.01
"69","San Benito County",2002-07-01,8,50
"70","San Diego County",2002-07-01,14,84
"71","Santa Barbara County",2002-07-01,7,47
"72","Santa Clara County",2002-07-01,123,69
"73","Shasta County",2002-07-01,3.3,42.1
"74","Sierra County",2002-07-01,1,4
"75","Siskiyou County",2002-07-01,12,21
"76","Sonoma County",2002-07-01,10.8,49
"77","Stanislaus County",2002-07-01,7,52
"78","Tulare County",2002-07-01,11.97,66.87
"79","Alameda County",2002-10-01,24.56,59.12
"80","Amador County",2002-10-01,3.5,45.5
"81","Colusa County",2002-10-01,4.5,34.5
"82","Del Norte County",2002-10-01,7.3,24.1
"83","El Dorado County",2002-10-01,2,42
"84","Fresno County",2002-10-01,17.24,73.32
"85","Glenn County",2002-10-01,7.56,24.6
"86","Humboldt County",2002-10-01,12.22,53.14
"87","Los Angeles County",2002-10-01,49.74,41.9
"88","Madera County",2002-10-01,8,46
"89","Marin County",2002-10-01,7.8,53.1
"90","Mariposa County",2002-10-01,11,17
"91","Mendocino County",2002-10-01,12,49
"92","Napa County",2002-10-01,12,67
"93","Orange County",2002-10-01,3.1,34.7
"94","Orange County",2002-10-01,5.9,16
"95","Placer County",2002-10-01,13.3,54.7
"96","Plumas County",2002-10-01,4,13
"97","San Benito County",2002-10-01,20,48
"98","San Diego County",2002-10-01,14,84
"99","San Mateo County",2002-10-01,5.55,9.94
"100","Santa Barbara County",2002-10-01,8,52
"101","Santa Clara County",2002-10-01,128,71
"102","Shasta County",2002-10-01,6.1,45.7
"103","Sierra County",2002-10-01,1,2
"104","Siskiyou County",2002-10-01,15,19
"105","Sonoma County",2002-10-01,16.4,46.5
"106","Stanislaus County",2002-10-01,6,53
"107","Tulare County",2002-10-01,15.12,70.64
"108","Alameda County",2003-01-01,24.69,58.83
"109","Amador County",2003-01-01,3,79
"110","Colusa County",2003-01-01,4,30
"111","Del Norte County",2003-01-01,7.95,3.93
"112","El Dorado County",2003-01-01,2,50
"113","Fresno County",2003-01-01,24.3,70.27
"114","Glenn County",2003-01-01,9.23,21.84
"115","Humboldt County",2003-01-01,15.15,40.7
"116","Los Angeles County",2003-01-01,10.01,57.15
"117","Madera County",2003-01-01,8.5,45.5
"118","Marin County",2003-01-01,8.4,37.6
"119","Mariposa County",2003-01-01,16,13
"120","Mendocino County",2003-01-01,13,25
"121","Napa County",2003-01-01,13,70
"122","Orange County",2003-01-01,2.3,34.7
"123","Orange County",2003-01-01,10.1,20
"124","Placer County",2003-01-01,24.7,59.1
"125","Plumas County",2003-01-01,4.17,26.27
"126","San Benito County",2003-01-01,5,63
"127","San Diego County",2003-01-01,14,84
"128","San Mateo County",2003-01-01,9.9,34.5
"129","Santa Barbara County",2003-01-01,8,52
"130","Santa Clara County",2003-01-01,132,70
"131","Shasta County",2003-01-01,11.7,51.8
"132","Sierra County",2003-01-01,2,2
"133","Siskiyou County",2003-01-01,14,17
"134","Sonoma County",2003-01-01,14.1,47.9
"135","Stanislaus County",2003-01-01,10,52
"136","Tulare County",2003-01-01,19.06,65.35
"137","Alameda County",2003-04-01,25.33,56
"138","Amador County",2003-04-01,5,86
"139","Colusa County",2003-04-01,6,27
"140","Del Norte County",2003-04-01,9.3,4.3
"141","El Dorado County",2003-04-01,2,52
"142","Fresno County",2003-04-01,26.54,69.72
"143","Glenn County",2003-04-01,11.7,19.9
"144","Humboldt County",2003-04-01,13.74,36.47
"145","Los Angeles County",2003-04-01,7.62,40.14
"146","Madera County",2003-04-01,9,45
"147","Marin County",2003-04-01,10.5,40.9
"148","Mariposa County",2003-04-01,11,16
"149","Mendocino County",2003-04-01,11,33
"150","Napa County",2003-04-01,15,67
"151","Orange County",2003-04-01,1.3,36.9
"152","Orange County",2003-04-01,10.2,20
"153","Placer County",2003-04-01,11.4,63.5
"154","Plumas County",2003-04-01,3.78,27.24
"155","San Diego County",2003-04-01,6.3,80.1
"156","San Mateo County",2003-04-01,11.06,18.25
"157","Santa Barbara County",2003-04-01,8,48
"158","Santa Clara County",2003-04-01,129,71
"159","Shasta County",2003-04-01,12,86
"160","Sierra County",2003-04-01,1,1
"161","Siskiyou County",2003-04-01,21,15
"162","Sonoma County",2003-04-01,7,72.8
"163","Stanislaus County",2003-04-01,10,52
"164","Tulare County",2003-04-01,25.79,59.43
"165","Alameda County",2003-07-01,22.95,61.02
"166","Amador County",2003-07-01,2,72
"167","Colusa County",2003-07-01,5,26
"168","Del Norte County",2003-07-01,3,6
"169","El Dorado County",2003-07-01,2,55
"170","Fresno County",2003-07-01,23.59,75.44
"171","Glenn County",2003-07-01,9.85,22.03
"172","Humboldt County",2003-07-01,13.74,36.47
"173","Los Angeles County",2003-07-01,7.12,45.36
"174","Madera County",2003-07-01,11,46
"175","Marin County",2003-07-01,8.2,42.3
"176","Mariposa County",2003-07-01,8,16
"177","Mendocino County",2003-07-01,10,28
"178","Modoc County",2003-07-01,5.3,12.8
"179","Napa County",2003-07-01,14,68
"180","Orange County",2003-07-01,1.2,35.7
"181","Orange County",2003-07-01,12.2,21
"182","Plumas County",2003-07-01,3.2,29.32
"183","San Diego County",2003-07-01,5.9,77.7
"184","San Mateo County",2003-07-01,13,20
"185","Santa Barbara County",2003-07-01,8,49
"186","Santa Clara County",2003-07-01,123,70
"187","Shasta County",2003-07-01,19.6,21.9
"188","Sierra County",2003-07-01,3,5
"189","Siskiyou County",2003-07-01,27,16
"190","Sonoma County",2003-07-01,7,72.8
"191","Stanislaus County",2003-07-01,10,52
"192","Tulare County",2003-07-01,24.92,55.65
"193","Alameda County",2003-10-01,22.95,61.02
"194","Amador County",2003-10-01,4,76
"195","Colusa County",2003-10-01,6,25
"196","Del Norte County",2003-10-01,5,9
"197","El Dorado County",2003-10-01,2,45
"198","Fresno County",2003-10-01,26.05,75.01
"199","Glenn County",2003-10-01,9.83,25.65
"200","Humboldt County",2003-10-01,13.86,40.25
"201","Los Angeles County",2003-10-01,9.3,38.64
"202","Madera County",2003-10-01,8,46
"203","Marin County",2003-10-01,7.9,44.7
"204","Mariposa County",2003-10-01,11,16
"205","Mendocino County",2003-10-01,8,53
"206","Modoc County",2003-10-01,3.8,12.8
"207","Napa County",2003-10-01,13,69
"208","Orange County",2003-10-01,1.2,33.9
"209","Orange County",2003-10-01,10.1,23.3
"210","Plumas County",2003-10-01,4.86,17.71
"211","San Diego County",2003-10-01,6.1,81
"212","San Mateo County",2003-10-01,12,19
"213","Santa Barbara County",2003-10-01,8,46
"214","Santa Clara County",2003-10-01,131,69
"215","Shasta County",2003-10-01,1,101
"216","Sierra County",2003-10-01,6,7
"217","Siskiyou County",2003-10-01,26,13
"218","Sonoma County",2003-10-01,8.7,70.6
"219","Stanislaus County",2003-10-01,10,52
"220","Tulare County",2003-10-01,27.11,56.28
"221","Alameda County",2004-01-01,21.05,60.4
"222","Amador County",2004-01-01,6,79
"223","Colusa County",2004-01-01,3,34
"224","Del Norte County",2004-01-01,7,11
"225","El Dorado County",2004-01-01,3,48
"226","Fresno County",2004-01-01,26.53,81.68
"227","Glenn County",2004-01-01,6,20
"228","Humboldt County",2004-01-01,17.17,32.71
"229","Los Angeles County",2004-01-01,8.02,37.01
"230","Madera County",2004-01-01,8,41
"231","Marin County",2004-01-01,7.3,42.1
"232","Mariposa County",2004-01-01,13,17
"233","Mendocino County",2004-01-01,13,26
"234","Modoc County",2004-01-01,3.8,12.8
"235","Napa County",2004-01-01,13,69
"236","Orange County",2004-01-01,1.2,36.5
"237","Orange County",2004-01-01,11.1,20.5
"238","Plumas County",2004-01-01,5.16,19.42
"239","San Benito County",2004-01-01,5,56
"240","San Diego County",2004-01-01,7.7,76.9
"241","San Mateo County",2004-01-01,10,28
"242","Santa Barbara County",2004-01-01,8,41
"243","Santa Clara County",2004-01-01,127,95
"244","Shasta County",2004-01-01,1.7,17.7
"245","Sierra County",2004-01-01,6,90
"246","Siskiyou County",2004-01-01,31,17
"247","Sonoma County",2004-01-01,6.5,63.3
"248","Stanislaus County",2004-01-01,14,51
"249","Tulare County",2004-01-01,29.33,64.6
"250","Alameda County",2004-04-01,22.08,61.5
"251","Amador County",2004-04-01,4,74
"252","Colusa County",2004-04-01,4,37
"253","Del Norte County",2004-04-01,8,9
"254","El Dorado County",2004-04-01,2,51
"255","Fresno County",2004-04-01,21.88,77.75
"256","Glenn County",2004-04-01,8,21
"257","Humboldt County",2004-04-01,14,35
"258","Los Angeles County",2004-04-01,9.37,36.88
"259","Madera County",2004-04-01,9,39
"260","Marin County",2004-04-01,8.2,42.5
"261","Mariposa County",2004-04-01,12,16
"262","Mendocino County",2004-04-01,13,24
"263","Modoc County",2004-04-01,2.3,13.4
"264","Napa County",2004-04-01,16,72
"265","Orange County",2004-04-01,3.3,34.4
"266","Orange County",2004-04-01,12,22
"267","Plumas County",2004-04-01,3.09,25.37
"268","San Diego County",2004-04-01,11.4,68.2
"269","San Mateo County",2004-04-01,18,24
"270","Santa Barbara County",2004-04-01,6,40
"271","Santa Clara County",2004-04-01,130,83
"272","Shasta County",2004-04-01,1.6,12.9
"273","Siskiyou County",2004-04-01,29,21
"274","Sonoma County",2004-04-01,5.3,56.4
"275","Stanislaus County",2004-04-01,14,51
"276","Trinity County",2004-04-01,8,28
"277","Tulare County",2004-04-01,30.72,58.41
"278","Alameda County",2004-07-01,22.01,61.2
"279","Amador County",2004-07-01,5,31
"280","Colusa County",2004-07-01,3,27
"281","Del Norte County",2004-07-01,5.3,25.4
"282","El Dorado County",2004-07-01,4,47
"283","Fresno County",2004-07-01,22.87,88.73
"284","Glenn County",2004-07-01,9,28
"285","Humboldt County",2004-07-01,11.85,39.51
"286","Los Angeles County",2004-07-01,14.37,36.15
"287","Madera County",2004-07-01,7,41
"288","Marin County",2004-07-01,7.4,46.7
"289","Mariposa County",2004-07-01,13,15
"290","Mendocino County",2004-07-01,13,28
"291","Modoc County",2004-07-01,3.5,26.1
"292","Napa County",2004-07-01,11,69
"293","Orange County",2004-07-01,1.2,38.9
"294","Orange County",2004-07-01,12.5,25
"295","Plumas County",2004-07-01,2.6,18.4
"296","San Diego County",2004-07-01,12.6,73.9
"297","San Mateo County",2004-07-01,19,24
"298","Santa Barbara County",2004-07-01,6,44
"299","Santa Clara County",2004-07-01,130,83
"300","Shasta County",2004-07-01,3.2,40.8
"301","Siskiyou County",2004-07-01,31,18
"302","Sonoma County",2004-07-01,5.7,56.7
"303","Stanislaus County",2004-07-01,14,51
"304","Trinity County",2004-07-01,4,45
"305","Tulare County",2004-07-01,27.33,70.01
"306","Alameda County",2004-10-01,21.17,62.3
"307","Amador County",2004-10-01,6,79
"308","Colusa County",2004-10-01,6,39
"309","Del Norte County",2004-10-01,6.1,27
"310","El Dorado County",2004-10-01,3.7,36.1
"311","Fresno County",2004-10-01,22.09,93.16
"312","Glenn County",2004-10-01,8,23
"313","Humboldt County",2004-10-01,11,35
"314","Los Angeles County",2004-10-01,9.92,38.39
"315","Madera County",2004-10-01,11,47
"316","Marin County",2004-10-01,7.1,43.2
"317","Mariposa County",2004-10-01,15,13
"318","Mendocino County",2004-10-01,11,47
"319","Modoc County",2004-10-01,3.1,22.5
"320","Napa County",2004-10-01,11,67
"321","Orange County",2004-10-01,1.3,39.8
"322","Orange County",2004-10-01,13,28
"323","Plumas County",2004-10-01,4.08,40.88
"324","San Diego County",2004-10-01,6.4,77.1
"325","San Mateo County",2004-10-01,17,22
"326","Santa Barbara County",2004-10-01,7,46
"327","Santa Clara County",2004-10-01,133,71
"328","Shasta County",2004-10-01,2,27
"329","Siskiyou County",2004-10-01,34,17
"330","Sonoma County",2004-10-01,7.5,63.1
"331","Stanislaus County",2004-10-01,14,52
"332","Trinity County",2004-10-01,3,25
"333","Tulare County",2004-10-01,27.81,77.88
"334","Alameda County",2005-01-01,21.17,62.3
"335","Amador County",2005-01-01,8,82
"336","Colusa County",2005-01-01,4,43
"337","Del Norte County",2005-01-01,5.8,30
"338","El Dorado County",2005-01-01,3,50
"339","Fresno County",2005-01-01,22.39,87.63
"340","Glenn County",2005-01-01,9,20
"341","Humboldt County",2005-01-01,12,39.85
"342","Los Angeles County",2005-01-01,39.37,42.85
"343","Madera County",2005-01-01,10.5,48
"344","Marin County",2005-01-01,8,38
"345","Mariposa County",2005-01-01,14,13
"346","Mendocino County",2005-01-01,13,29
"347","Modoc County",2005-01-01,5.5,24
"348","Napa County",2005-01-01,19,92
"349","Orange County",2005-01-01,1.35,38.85
"350","Orange County",2005-01-01,14.5,30
"351","Plumas County",2005-01-01,5,22
"352","San Diego County",2005-01-01,8.1,70.9
"353","San Mateo County",2005-01-01,14,20
"354","Santa Barbara County",2005-01-01,9,41
"355","Santa Clara County",2005-01-01,127,95
"356","Shasta County",2005-01-01,8.4,54.7
"357","Siskiyou County",2005-01-01,31,19
"358","Sonoma County",2005-01-01,7.1,57.5
"359","Stanislaus County",2005-01-01,9,48
"360","Trinity County",2005-01-01,3,61
"361","Tulare County",2005-01-01,32.64,69.7
