jurisdiction,year,month,date,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,day_of_highest_count,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
Alameda Sheriff's Department,2020,march,2020-03-01,Alameda County,06,001,06001,1963,148,279,35,2425,1939,287,2226,172,27,199,2020-03-08,2636,NA,668,510,8,1695,633,78,151,11,8,105,445,27,0,9,2,2421,0,0,0,NA,NA,NA,NA,NA,NA,NA
Amador Sheriff's Department,2020,march,2020-03-01,Amador County,06,005,06005,36,4,31,6,77,33,29,62,7,8,15,2020-03-04,96,20,10,20,0,83,32,3,0,0,5,0,0,0,0,10,38,56,0,28,0,NA,NA,NA,NA,NA,NA,NA
Butte Sheriff's Department,2020,march,2020-03-01,Butte County,06,007,06007,290,57,161,36,544,319,162,481,28,35,63,2020-03-03,577,259,150,49,0,530,36,13,89,1,9,0,0,0,0,75,11,787,7,25,0,NA,NA,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2020,march,2020-03-01,Calaveras County,06,009,06009,62,9,28,8,107,66,30,96,5,6,11,2020-03-09,124,53,48,48,0,167,34,1,0,0,0,0,0,0,0,0,0,75,0,9,0,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2020,march,2020-03-01,Colusa County,06,011,06011,31,6,26,2,65,27,14,41,10,14,24,2020-03-16,72,12,14,7,0,99,20,8,4,0,4,0,5,0,0,3,1,94,0,3,0,NA,NA,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2020,march,2020-03-01,Contra Costa County,06,013,06013,806,71,117,14,1008,731,109,840,146,22,168,2020-03-09,1153,389,59,312,47,717,885,112,51,4,0,0,0,0,0,0,0,1125,0,0,0,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2020,march,2020-03-01,Del Norte County,06,015,06015,49,11,25,3,88,54,16,70,6,12,18,2020-03-01,102,3,0,14,0,54,54,0,3,0,3,0,0,0,0,2,0,136,0,0,0,NA,NA,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2020,march,2020-03-01,El Dorado County,06,017,06017,184,28,114,34,360,202,128,330,10,20,30,2020-03-01,396,153,45,125,0,613,315,6,33,NA,4,0,1,0,6,0,0,325,107,6,0,NA,NA,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2020,march,2020-03-01,Fresno County,06,019,06019,2114,204,537,67,2922,2235,541,2776,83,63,146,2020-03-15,2989,226,995,809,59,8253,1395,40,559,33,30,0,211,52,60,40,0,2227,278,123,0,NA,NA,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2020,march,2020-03-01,Glenn County,06,021,06021,53,12,19,3,87,52,16,68,13,6,19,2020-03-03,105,22,13,10,0,93,16,2,4,0,1,0,0,0,0,3,0,94,0,0,0,NA,NA,NA,NA,NA,NA,NA
