jurisdiction,year,quarter,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien
Alameda Sheriff's Department,2020,1,Alameda County,06,001,06001,23,372451,288220,24,20,55,NA,NA,NA,NA,NA
Amador Sheriff's Department,2020,1,Amador County,06,005,06005,0,11797,2244,29.91,2.9299999999999997,64.95,NA,NA,NA,NA,NA
Butte Sheriff's Department,2020,1,Butte County,06,007,06007,0,75656,12844,12,5,30,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2020,1,Calaveras County,06,009,06009,0,10893,4429,NA,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2020,1,Colusa County,06,011,06011,0,5545,2433,17.7,6.25,49.91,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2020,1,Contra Costa County,06,013,06013,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2020,1,Del Norte County,06,015,06015,0,13574,7958,18.6,7.7,50.9,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2020,1,El Dorado County,06,017,06017,1,105358,12830,26.5,14.5,67.3,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2020,1,Fresno County,06,019,06019,5,281230,144010,37.1,21.6,20.1,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2020,1,Glenn County,06,021,06021,1,14767,1041,38,42,26,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2020,1,Humboldt County,06,023,06023,12,47750,15574,20.47,10.7,43.92,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2020,1,Imperial County,06,025,06025,2,58913,28745,NA,NA,NA,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2020,1,Inyo County,06,027,06027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kern Sheriff's Department,2020,1,Kern County,06,029,06029,2,367147,199662,26.53,17.439999999999998,35.260000000000005,NA,NA,NA,NA,NA
Kings Sheriff's Department,2020,1,Kings County,06,031,06031,4,88008,17224,36,10,85,NA,NA,NA,NA,NA
Lake Sheriff's Department,2020,1,Lake County,06,033,06033,NA,57032,13556,NA,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2020,1,Lassen County,06,035,06035,0,15391,5445,17.5,8.5,96.6,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2020,1,Los Angeles County,06,037,06037,NA,8585865,1677415,81,9,83,NA,NA,NA,NA,NA
Madera Corrections Department,2020,1,Madera County,06,039,06039,NA,42876,7790,42,6,107,NA,NA,NA,NA,NA
Marin Sheriff's Department,2020,1,Marin County,06,041,06041,NA,87008.73,11824.33,21,32,43,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2020,1,Mariposa County,06,043,06043,0,18003,7229,17.3,7.1,50.7,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2020,1,Mendocino County,06,045,06045,8,32711,17066,30,3,57,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2020,1,Modoc County,06,049,06049,1,10458,3112,97,69,28,NA,NA,NA,NA,NA
Mono Sheriff's Department,2020,1,Mono County,06,051,06051,0,9713,0,125,81,44,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2020,1,Monterey County,06,053,06053,1,23626,3937,27.6,24.7,31,NA,NA,NA,NA,NA
